INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
279758069,12/29/2023,18:40:00,BRONX,OUTSIDE,40,0,STREET,(null),FALSE,(null),(null),(null),65+,M,BLACK HISPANIC,1010564,235262,40.812379,-73.90494,POINT (-73.90494 40.812379)
279709792,12/29/2023,21:22:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),FALSE,25-44,M,BLACK,25-44,M,BLACK,1018514,178646,40.656953,-73.876507,POINT (-73.876507 40.656953)
279683077,12/29/2023,03:43:00,QUEENS,INSIDE,113,0,COMMERCIAL,RESTAURANT/DINER,FALSE,(null),(null),(null),25-44,M,BLACK,1047268,189119,40.685543,-73.772774,POINT (-73.772774 40.685543)
279609499,12/27/2023,19:47:00,BRONX,OUTSIDE,42,0,STREET,(null),FALSE,(null),(null),(null),<18,M,BLACK HISPANIC,1015730,240807,40.82758,-73.886248,POINT (-73.886248 40.82758)
279547332,12/26/2023,23:31:00,BRONX,OUTSIDE,46,0,STREET,(null),FALSE,45-64,M,WHITE HISPANIC,45-64,M,WHITE,1011035,250045,40.852951,-73.903178,POINT (-73.903178 40.852951)
279547333,12/26/2023,23:43:00,QUEENS,OUTSIDE,106,0,STREET,(null),TRUE,(null),(null),(null),25-44,F,BLACK HISPANIC,1034904,190307,40.688883,-73.817347,POINT (-73.817347 40.688883)
279547333,12/26/2023,23:43:00,QUEENS,OUTSIDE,106,0,STREET,(null),FALSE,(null),(null),(null),25-44,F,BLACK HISPANIC,1034904,190307,40.688883,-73.817347,POINT (-73.817347 40.688883)
279500313,12/26/2023,05:09:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,1008749,179070,40.65815,-73.911701,POINT (-73.911701 40.65815)
279547333,12/26/2023,23:43:00,QUEENS,OUTSIDE,106,0,STREET,(null),TRUE,(null),(null),(null),25-44,M,BLACK,1034904,190307,40.688883,-73.817347,POINT (-73.817347 40.688883)
279547333,12/26/2023,23:43:00,QUEENS,OUTSIDE,106,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK,1034904,190307,40.688883,-73.817347,POINT (-73.817347 40.688883)
279460793,12/24/2023,05:24:00,BROOKLYN,OUTSIDE,67,0,COMMERCIAL,BAR/NIGHT CLUB,FALSE,(null),(null),(null),25-44,M,BLACK,1004029,171113,40.636322,-73.928734,POINT (-73.928734 40.636322)
279475600,12/24/2023,17:39:00,BROOKLYN,OUTSIDE,69,0,DWELLING,PVT HOUSE,FALSE,(null),(null),(null),25-44,M,BLACK,1013544,169609,40.632167,-73.894457,POINT (-73.894457 40.632167)
279472658,12/24/2023,17:40:00,MANHATTAN,INSIDE,26,2,HOUSING,MULTI DWELL - PUBLIC HOUS,TRUE,18-24,M,BLACK,18-24,M,BLACK,997083,236928,40.81698,-73.953637,POINT (-73.953637 40.81698)
279460792,12/24/2023,05:55:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),FALSE,(null),(null),(null),25-44,M,BLACK HISPANIC,1016484,187121,40.68022195358204,-73.88378407,POINT (-73.88378406896516 40.68022195358204)
279473159,12/24/2023,19:08:00,BRONX,INSIDE,48,0,DWELLING,MULTI DWELL - APT BUILD,FALSE,(null),(null),(null),18-24,M,BLACK,1012987,248501,40.848709,-73.896129,POINT (-73.896129 40.848709)
